iso	name	term
AFG	Afghans	
ALA	Alandish	
ALB	Albanians	
DZA	Algerians	
ASM	American Samoans	
AND	Andorrans	
AGO	Angolans	
AIA	Anguillans	
ATG	Antiguans	
ARG	Argentines	
ARM	Armenians	
ABW	Arubans	
-99	Ashmore and Cartier Islanders	
AUS	Aussies	
AUT	Austrians	
AZE	Azerbaijanis	
BHR	Bahrainis	
BGD	Bangladeshis	
BRB	Barbadians	
BLR	Belarusians	
BEL	Belgians	[u'stupid']	0	-2
BEL	Belgians	
BLZ	Belizeans	
BEN	Beninese	
BMU	Bermudans	
BTN	Bhutanese	[u'happy']	3	0
BOL	Bolivians	
BIH	Bosnians	
BWA	Botswanans	
BRA	Brazilians	
IOT	people from British Indian Ocean Territory	
VGB	British Virgin Islanders	
BRN	Bruneians	
BGR	Bulgarians	
BFA	Burkinabes	
BDI	Burundians	
KHM	Cambodians	
CMR	Cameroonians	
CAN	Canadians	
CPV	Cape Verdeans	
CYM	Cayman Islanders	
CAF	Central Africans	
TCD	Chadians	
CHL	Chileans	
CHN	Chinese	[u'rude']	0	-4
CHN	Chinese	
COL	Colombians	
COM	Comorians	
COK	Cook Islanders	
CRI	Costa Ricans	
HRV	Croatians	
CUB	Cubans	
CUW	Curacaons	
CYP	Cypriots	
CZE	Czechs	
COD	Congolese	
DNK	Danishs	
DJI	Djiboutians	
DMA	Dominicans	
DOM	Dominicans	
TLS	Timorese	
ECU	Ecuadoreans	
EGY	Egyptians	
SLV	Salvadoreans	
END	English	[u'rude']	0	-4
END	English	[u'lazy']	0	-1
END	English	
SCO	Scottish	
GNQ	Equatorial Guinean	
ERI	Eritreans	
EST	Estonians	
ETH	Ethiopians	
FLK	Falkland Islanders	
FRO	Faroe Islanders	
FSM	Micronesian	
FJI	Fijians	
FIN	Finnishs	
FRA	French	
PYF	French Polynesians	
ATF	none	
GAB	Gabonese	
GMB	Gambians	
GEO	Georgians	
DEU	Germans	
GHA	Ghanaians	
GRC	Greeks	
GRL	Greenlanders	
GRD	Grenadians	
GUM	Guamanian	
GTM	Guatemalans	
GGY	Guernseymen	
GIN	Guineans	
GNB	Guinea-Bissauan	
GUY	Guyaneses	
HTI	Haitians	
HMD	Heard Islanders and McDonald Islanders	
HND	Hondurans	
HUN	Hungarians	
ISL	Icelandics	
IND	Indians	
