iso_a3,admin,plural,definite,nationalities
AFG,Afghanistan,0,0,Afghans
ALA,Aland,0,0,Alandish
ALB,Albania,0,0,Albanians
DZA,Algeria,0,0,Algerians
ASM,American Samoa,0,0,American Samoans
AND,Andorra,0,0,Andorrans
AGO,Angola,0,0,Angolans
AIA,Anguilla,0,0,Anguillans
ATG,Antigua and Barbuda,0,0,Antiguans
ARG,Argentina,0,0,Argentines
ARM,Armenia,0,0,Armenians
ABW,Aruba,0,0,Arubans
-99,Ashmore and Cartier Islands,0,0,Ashmore and Cartier Islanders
AUS,Australia,0,0,Aussies
AUT,Austria,0,0,Austrians
AZE,Azerbaijan,0,0,Azerbaijanis
BHR,Bahrain,0,0,Bahrainis
BGD,Bangladesh,0,0,Bangladeshis
BRB,Barbados,0,0,Barbadians
BLR,Belarus,0,0,Belarusians
BEL,Belgium,0,0,Belgians
BLZ,Belize,0,0,Belizeans
BEN,Benin,0,0,Beninese
BMU,Bermuda,0,0,Bermudans
BTN,Bhutan,0,0,Bhutanese
BOL,Bolivia,0,0,Bolivians
BIH,Bosnia and Herzegovina,0,0,Bosnians
BWA,Botswana,0,0,Botswanans
BRA,Brazil,0,0,Brazilians
IOT,British Indian Ocean Territory,0,0,people from British Indian Ocean Territory
VGB,British Virgin Islands,1,1,British Virgin Islanders
BRN,Brunei,0,0,Bruneians
BGR,Bulgaria,0,0,Bulgarians
BFA,Burkina Faso,0,0,Burkinabes
BDI,Burundi,0,0,Burundians
KHM,Cambodia,0,0,Cambodians
CMR,Cameroon,0,0,Cameroonians
CAN,Canada,0,0,Canadians
CPV,Cape Verde,0,0,Cape Verdeans
CYM,Cayman Islands,1,1,Cayman Islanders
CAF,Central African Republic,0,1,Central Africans
TCD,Chad,0,0,Chadians
CHL,Chile,0,0,Chileans
CHN,China,0,0,Chinese
COL,Colombia,0,0,Colombians
COM,Comoros,1,1,Comorians
COK,Cook Islands,1,1,Cook Islanders
CRI,Costa Rica,0,0,Costa Ricans
HRV,Croatia,0,0,Croatians
CUB,Cuba,0,0,Cubans
CUW,Cura�ao,0,0,Curacaons
CYP,Cyprus,0,0,Cypriots
CZE,Czech Republic,0,1,Czechs
COD,Democratic Republic of the Congo,0,1,Congolese
DNK,Denmark,0,0,Danishs
DJI,Djibouti,0,0,Djiboutians
DMA,Dominica,0,0,Dominicans
DOM,Dominican Republic,0,1,Dominicans
TLS,East Timor,0,0,Timorese
ECU,Ecuador,0,0,Ecuadoreans
EGY,Egypt,0,0,Egyptians
SLV,El Salvador,0,0,Salvadoreans
END,England,0,0,English
SCO,Scotland,0,0,Scottish
GNQ,Equatorial Guinea,0,0,Equatorial Guinean
ERI,Eritrea,0,0,Eritreans
EST,Estonia,0,0,Estonians
ETH,Ethiopia,0,0,Ethiopians
FLK,Falkland Islands,1,1,Falkland Islanders
FRO,Faroe Islands,1,1,Faroe Islanders
FSM,Federated States of Micronesia,1,1,Micronesian
FJI,Fiji,0,0,Fijians
